Formule,Ele,BG,Structure,CA
BaS3,Ba-S,1.3912999999999998,2,62546.51885040232
CdF2,Cd-F,2.8977000000000004,1,1582.3565435713265
BeTe,Be-Te,2.0173,1,10109.30351063222
UO3,O-U,1.6349999999999998,1,228128.7749448409
Rb2Te,Rb-Te,1.8766,1,65916.01898158957
Th3N4,N-Th,1.4415000000000004,5,118912.24444223684
Na2S,Na-S,2.4399,1,20758.96075109862
CdS,Cd-S,1.125,4,78525.5509782946
HgF,F-Hg,1.7704,2,35411.833792287274
PtS2,Pt-S,1.5467000000000004,5,582625.6968975696
GaN,Ga-N,1.7264999999999997,4,70831.69194936952
Li2O2,Li-O,1.9743,4,33810.16585185927
Au2S,Au-S,1.9091,1,73820.44618004526
K2O,K-O,1.7072,1,56559.447699334894
GeSe2,Ge-Se,1.5188,2,311810.4860485964
YSF,F-S-Y,1.3132,2,34889.893234775016
NaYS2,Na-S-Y,2.2635,5,11879.041046585751
BaHfN2,Ba-Hf-N,1.2537000000000005,2,98647.84265207368
TaCu3S4,Cu-S-Ta,1.9231000000000005,1,102436.11892711744
RbPrSe2,Pr-Rb-Se,1.8997,5,97526.63987317296
RbNdSe2,Nd-Rb-Se,1.8958,5,90690.03368168756
RbGdSe2,Gd-Rb-Se,1.0338999999999998,5,105540.61636217248
RbTbSe2,Rb-Se-Tb,1.9336,5,35918.20763789332
RbHoSe2,Ho-Rb-Se,1.9587,5,27987.902479973294
RbErSe2,Er-Rb-Se,1.9769,5,25303.66636096543
RbLuSe2,Lu-Rb-Se,2.0299,5,21024.230797065957
Rb2PtC2,C-Pt-Rb,1.1362,5,261816.08098799756
TbSF,F-S-Tb,1.2587000000000002,2,32223.442112569577
HoSF,F-Ho-S,1.2996,2,31274.60464205671
Nd2TeS2,Nd-S-Te,1.5871,5,123869.02185353589
CdCN2,C-Cd-N,2.3076,5,5614.9230122845
K2S,K-S,2.3201,1,20112.421519871445
MgTe,Mg-Te,2.3612,4,22842.98216661997
SrS,S-Sr,2.497,1,8017.255570936087
BaO2,Ba-O,2.2352,2,2518.01562928497
SnS2,S-Sn,1.5147999999999997,5,57142.15933398699
ZnSe,Se-Zn,1.1663,1,83248.3710616367
HgO,Hg-O,1.1867,3,63225.39200997923
Na2Se,Na-Se,2.0153,1,70067.0174791174
MgS,Mg-S,2.7574,1,4272.297077896137
BaO,Ba-O,2.0906,1,51618.28338660007
CaSe,Ca-Se,2.0728000000000004,1,11530.258802301702
BP,B-P,1.2434999999999992,1,8184.513933873101
BaS,Ba-S,2.1488,1,51310.029329953926
CaTe,Ca-Te,1.5535,1,38468.49687839703
BeSe,Be-Se,2.6636999999999995,1,4356.541193094771
AlP,Al-P,1.6294000000000004,1,13895.173518138943
Be2C,Be-C,1.1636999999999995,1,3457.1170222439164
GaSe,Ga-Se,1.2405999999999997,4,76025.32966510674
Al4C3,Al-C,1.3154000000000003,5,12390.161171835627
CaS,Ca-S,2.3819,1,7292.231318288678
K2Te,K-Te,2.141,1,72126.33369519562
WSe2,Se-W,1.4465,4,324073.6781761412
SrTe,Sr-Te,1.7616,1,62828.64608724197
ScAgO2,Ag-O-Sc,2.1264000000000003,4,14370.311005410524
Na5CuSO2,Cu-Na-O-S,1.5205,2,42921.30595675817
SrCeN2,Ce-N-Sr,1.2679999999999998,5,310580.772128098
Rb2Se,Rb-Se,1.7968,1,52956.80485960386
KLaTe2,K-La-Te,1.7012999999999994,5,287475.6701352742
KNdTe2,K-Nd-Te,1.2648,5,328030.07589126733
KAuF6,Au-F-K,2.1117,5,32954.09362690449
SrCuSF,Cu-F-S-Sr,1.5126,2,60383.31371940797
YZnPO,O-P-Y-Zn,1.3049,5,88448.50182201395
Tb2SO2,O-S-Tb,2.9772000000000003,5,3489.244679628426
CuBS2,B-Cu-S,1.7424999999999995,2,34344.16096569466
MgSe,Mg-Se,2.5476,1,14204.630377360634
NaSrP,Na-P-Sr,1.2357,4,296219.53723601607
SrLiP,Li-P-Sr,1.3430999999999995,4,242793.161182276
BaLiP,Ba-Li-P,0.9631000000000004,4,400210.4247408962
ZnPbF6,F-Pb-Zn,1.7555,5,21597.407438069244
PrCuO2,Cu-O-Pr,2.3609,5,30062.74974692752
Nd2SeO2,Nd-O-Se,2.1511,5,6000.307792603573
Sm2SeO2,O-Se-Sm,2.1358,5,5760.77743343236
Ho2SeO2,Ho-O-Se,2.1517000000000004,5,5227.752846947823
CdPdF6,Cd-F-Pd,1.7751,5,85628.0685851161
Rb2PdF6,F-Pd-Rb,2.2306,1,7150.90077402524
AlAgSe2,Ag-Al-Se,1.1351999999999998,2,89730.35346629101
LiRhO2,Li-O-Rh,1.5153,5,319909.78095456463
K3Cu3As2,As-Cu-K,1.2741,5,415248.42532602296
KLaS2,K-La-S,2.7005,5,11892.913523845104
KPrS2,K-Pr-S,2.2688,5,20371.180699563607
KSmS2,K-S-Sm,2.2759,5,15760.30740707217
KGdS2,Gd-K-S,1.8308,5,57321.152337685366
KHoS2,Ho-K-S,2.3505000000000003,5,10893.85660469346
LiDyS2,Dy-Li-S,1.9347,5,14715.461795770772
LiHoS2,Ho-Li-S,1.9863000000000004,5,13564.722389233297
LiGdSe2,Gd-Li-Se,1.1717,5,171009.53476743092
LiTbSe2,Li-Se-Tb,1.5013,5,50319.74117619082
LiDySe2,Dy-Li-Se,1.5347999999999995,5,40818.40492388801
LiHoSe2,Ho-Li-Se,1.5729000000000002,5,34601.301222424016
Pr2TeO2,O-Pr-Te,1.6555999999999995,2,125663.28593072966
Sm2TeO2,O-Sm-Te,1.4893,2,149913.1217768957
Gd2TeO2,Gd-O-Te,1.0708000000000002,2,139606.79047043156
Tb2TeO2,O-Tb-Te,1.1715,2,142270.7578090022
Dy2TeO2,Dy-O-Te,1.0886000000000005,2,139962.3558497399
KYTe2,K-Te-Y,1.2981000000000005,5,391357.8020735469
CoAgO2,Ag-Co-O,1.332,4,429596.6600808842
CrAgO2,Ag-Cr-O,1.6634000000000009,5,153935.58306831704
As2PbO6,As-O-Pb,2.1358,5,11243.670882296748
LaCuO2,Cu-La-O,2.5215999999999994,5,21095.35986439203
Ba2PbO4,Ba-O-Pb,1.2232000000000005,2,114405.61820532594
CeO2,Ce-O,1.8647,1,452125.09092935
NaInS2,In-Na-S,1.8377,5,43352.512730792936
InPS4,In-P-S,2.4754000000000005,2,27061.905255413483
AlAs,Al-As,1.5036999999999998,1,92207.77653150584
ZnTe,Te-Zn,1.0732999999999997,1,227475.9718862572
Li3N,Li-N,0.984,4,219852.35980756336
Li2Se,Li-Se,2.9746,1,4373.008537554134
Na2O,Na-O,1.8736,1,82536.5442219703
NaS,Na-S,1.2348,4,56396.6597938009
IrF3,F-Ir,1.1410999999999998,5,417049.4665222003
GaP,Ga-P,1.6039,1,132236.67002498536
GaS,Ga-S,2.0036,4,22353.533292486987
Li2Te,Li-Te,2.4914,1,7401.304700239134
AlSb,Al-Sb,1.2255000000000005,1,348957.2552222329
CsAu,Au-Cs,1.0233,1,142700.51855477766
SrO2,O-Sr,2.8495000000000004,2,2234.0352020164614
SrSe,Se-Sr,2.2313,1,13824.998866014525
Na2Te,Na-Te,2.0282,1,62561.616050623
Cs2UO4,Cs-O-U,1.8211,2,106853.02762454878
Na2PtO2,Na-O-Pt,1.4632999999999998,3,51814.44917324935
HgI,Hg-I,1.6426000000000005,2,642451.1826638625
VCl2,Cl-V,1.2559999999999998,5,20469.306069576214
XeF2,F-Xe,2.6861999999999995,2,3712.433294379692
HgCl,Cl-Hg,2.7243000000000004,2,11323.398672808316
AgCl,Ag-Cl,0.9522000000000002,1,9240.430354182648
AgI,Ag-I,1.3674,1,84443.93592516544
CsBrF,Br-Cs-F,2.5062,2,12422.095680645332
Ca2NCl,Ca-Cl-N,2.371,5,34103.23371840593
BiClO,Bi-Cl-O,2.5681000000000003,2,6690.116967263639
K2PdCl4,Cl-K-Pd,1.4279000000000002,2,8985.79850533279
Rb2TeCl6,Cl-Rb-Te,2.6398,1,13033.415709574489
TlIO3,I-O-Tl,2.7633,5,9251.419519823958
CsGeCl3,Cl-Cs-Ge,2.1535,5,55949.250895280165
CsICl2,Cl-Cs-I,2.2301,5,17065.467111331178
Ca2BrN,Br-Ca-N,2.4254,5,32204.52280927021
Sr2NCl,Cl-N-Sr,1.9398000000000004,5,79794.45746886307
Ca2PI,Ca-I-P,1.6997000000000004,5,146024.17633880975
ZrIN,I-N-Zr,1.2172,3,44845.778132122905
Sr2BrN,Br-N-Sr,1.8455,5,89361.1133267938
BiBrO,Bi-Br-O,2.2251,2,10758.881757173169
HgBr,Br-Hg,2.2557,2,45959.2633679429
InI,I-In,1.3412000000000002,3,313509.1466665531
BrF3,Br-F,2.211,3,5370.491308069628
Cs2PtCl6,Cl-Cs-Pt,2.1146,1,24805.573921457624
Cs2TeCl6,Cl-Cs-Te,2.7815000000000003,1,11466.394384937186
Rb2PbCl6,Cl-Pb-Rb,1.2605,1,117264.20812560157
LiH,H-Li,2.981,1,10195.54681615706
KMgH3,H-K-Mg,2.458,1,2710.9691807088807
Mg2FeH6,Fe-H-Mg,1.914,1,10452.05506345871
BaLiH3,Ba-H-Li,2.2146,1,13394.380844517911
BaHI,Ba-H-I,2.8111,2,4890.688355140904
HoHSe,H-Ho-Se,1.4981000000000004,4,58105.62950650579
Sr2H6Ru,H-Ru-Sr,2.2360999999999995,1,7386.2992146541055
RbH,H-Rb,2.9163,1,6317.384331064218
RbIO3,I-O-Rb,2.8369,5,6785.936604435413
Ca3AsBr3,As-Br-Ca,1.6726,1,175245.94344768242
LiBiF6,Bi-F-Li,2.5394,5,10765.966990507368
NaBiF6,Bi-F-Na,2.7315,5,5124.297707729901
ErSCl,Cl-Er-S,2.9329,3,5764.415772501484
InClO,Cl-In-O,2.3645,3,5757.72049710997
InBrO,Br-In-O,1.9948,3,17034.61452871854
SO2,O-S,2.8368,3,2991.437238661991
BiF5,Bi-F,1.8138,2,73950.3195197174
Rb2TiCl6,Cl-Rb-Ti,2.1471,1,110193.87027241485
Cs2TiCl6,Cl-Cs-Ti,2.2291,1,63415.51337846289
Tl2SnCl6,Cl-Sn-Tl,2.4814,1,3841.479887296004
Tl2PtCl6,Cl-Pt-Tl,1.7373999999999998,1,36213.36499166497
K2TiCl6,Cl-K-Ti,2.0826,1,154336.6915290585
VBrO,Br-O-V,1.4911,3,85262.43418066922
Ba2PCl,Ba-Cl-P,1.2602000000000002,5,186587.9024646923
U(OF)2,F-O-U,2.1045000000000003,5,5226.076975912966
MnI2,I-Mn,1.1707999999999998,5,68097.20205499069
ThBrN,Br-N-Th,2.6396,2,5763.346572063539
ThIN,I-N-Th,2.6859,2,7413.955691231634
Ca3AsCl3,As-Ca-Cl,1.8439,1,152955.13473379822
Rb2PdCl6,Cl-Pd-Rb,1.2868,1,278343.6218511205
K3IO,I-K-O,1.0284000000000002,1,30245.933643374683
MnCl2,Cl-Mn,1.7925999999999995,5,2367.384380918222
MnBr2,Br-Mn,1.5962,5,5064.581333343645
Ca2IN,Ca-I-N,2.3485,4,40401.43602441806
Ca2AsI,As-Ca-I,1.5566,5,183287.39021016544
Na3ClO,Cl-Na-O,2.0299,1,50459.25903188639
K4Br2O,Br-K-O,0.9912,2,22284.67324877308
CsBr2F,Br-Cs-F,1.7763,2,128779.33553027592
YHSe,H-Se-Y,1.5072,4,95285.00033793224
YAgO2,Ag-O-Y,2.4154,4,9174.328960145252
BaZrN2,Ba-N-Zr,0.9972000000000004,2,161738.43822509967
Al2CdSe4,Al-Cd-Se,2.0047,2,62152.50405227053
Li2ZrN2,Li-N-Zr,1.5618999999999996,5,131380.10746702383
Pr2SO2,O-Pr-S,2.8599999999999994,5,4210.132524048283
NaErS2,Er-Na-S,2.3245,5,10459.92051843615
KTaO3,K-O-Ta,2.0995,1,14623.16284609314
NaNbO2,Na-Nb-O,1.3781,4,288854.3592331561
AlCuO2,Al-Cu-O,1.7978000000000005,5,38925.61264564922
K2UO4,K-O-U,1.9773,2,63751.66847176948
BaHgO2,Ba-Hg-O,2.2727,5,7526.851236489025
LiNbO2,Li-Nb-O,1.5794999999999997,4,179101.26336769355
PrSF,F-Pr-S,1.2541000000000002,2,28594.512425847865
DyTlS2,Dy-S-Tl,1.5281999999999996,5,22186.822424989376
ZrCoBi,Bi-Co-Zr,0.9771999999999998,1,854967.6178182124
BiTeBr,Bi-Br-Te,1.2364000000000002,5,328364.8986752837
KNO2,K-N-O,2.5157,6,4166.664545598492
CaHN,Ca-H-N,2.193,2,35565.406969751006
LiMgP,Li-Mg-P,1.5391000000000004,1,26838.867330251825
AgAsF6,Ag-As-F,1.6806,1,34853.31394893337
LiMgN,Li-Mg-N,2.2707,1,25087.883697611014
KCrS2,Cr-K-S,1.1644,5,310583.9219828948
NbCu3Se4,Cu-Nb-Se,1.3604000000000005,1,347010.4366580591
TaCu3Se4,Cu-Se-Ta,1.5980000000000003,1,246492.2524396186
KLiTe,K-Li-Te,2.4134,2,20327.664568423246
ZnGeP2,Ge-P-Zn,1.1782000000000004,2,331422.095255636
LiAlTe2,Al-Li-Te,2.4411,2,28863.765724129087
ZnSiP2,P-Si-Zn,1.3641000000000003,2,88200.938563931
Pr2SeO2,O-Pr-Se,2.1691000000000003,5,6142.996533926519
Gd2SO2,Gd-O-S,2.0194,5,10546.977500122544
NdCuO2,Cu-Nd-O,2.4115,5,26611.4689374925
Na2HgO2,Hg-Na-O,1.6474000000000002,2,36143.37149898956
BaTiO3,Ba-O-Ti,2.5087,5,10012.395070545836
NaInO2,In-Na-O,1.9142,5,39613.2458039494
KPrTe2,K-Pr-Te,1.2799999999999998,5,314133.4337782449
LaSF,F-La-S,1.488099999999999,2,22517.977293165768
Nd2TeO2,Nd-O-Te,1.3099999999999996,2,135859.01063801005
NaTaN2,N-Na-Ta,1.2764999999999995,5,342983.2542372014
LiInO2,In-Li-O,1.8143,2,24264.50780068476
Tl3VS4,S-Tl-V,1.9554,1,305744.844692952
Sm2SO2,O-S-Sm,2.9166000000000003,5,3845.704682691404
NbCu3S4,Cu-Nb-S,1.6574,1,197920.1737624481
NaCrS2,Cr-Na-S,0.9908999999999994,5,268774.29737357266
NaHoS2,Ho-Na-S,2.3055000000000003,5,11078.90798146888
NdSF,F-Nd-S,1.2363000000000004,2,29682.82933092912
AlAgS2,Ag-Al-S,1.8992,2,30561.72052394872
K2HgO2,Hg-K-O,2.0773,2,10816.693181468796
Al2CdS4,Al-Cd-S,2.7263,2,6829.102139150615
TiCoSb,Co-Sb-Ti,1.0431999999999997,1,703429.7849508929
CaHgO2,Ca-Hg-O,2.125,5,9108.555119447674
RbDyS2,Dy-Rb-S,2.3216,5,11993.885325467534
KAuS,Au-K-S,2.1003000000000003,3,15457.341791662124
Cd(AsO3)2,As-Cd-O,1.9349,5,21823.626634634704
La2SeO2,La-O-Se,2.4067,5,8347.596784425654
KNbO3,K-Nb-O,2.2934,5,10891.93744703933
K3Cu3P2,Cu-K-P,1.2892,5,316380.148244157
RbAuO2,Au-O-Rb,1.4611,3,20636.443532558747
Th2TeN2,N-Te-Th,1.6182999999999996,2,114963.56716171245
Li2PdO2,Li-O-Pd,1.1973000000000005,3,98639.5568730698
LaSeF,F-La-Se,1.7260999999999995,4,57312.831499804095
Th2SeN2,N-Se-Th,1.3591999999999995,5,27554.07512665424
Th2SN2,N-S-Th,1.4240000000000004,5,20698.3546223314
CaGeN2,Ca-Ge-N,2.6621999999999995,2,6830.4352579140605
Rb2Sn2O3,O-Rb-Sn,1.2195999999999998,5,83902.74471708787
Rb2O2,O-Rb,1.7600000000000002,3,23874.58946365744
Cs2O2,Cs-O,1.6496,3,29350.10738547648
Al2HgS4,Al-Hg-S,2.0244000000000004,2,56412.52379013178
MgPdF6,F-Mg-Pd,1.8285,5,72200.84236859188
K2PtS2,K-Pt-S,1.2355999999999998,3,85355.80796884278
Rb2PtS2,Pt-Rb-S,1.2521,3,100232.41293131748
CsSmO2,Cs-O-Sm,2.9281000000000006,4,3431.1852172718404
K2PdF6,F-K-Pd,2.0399000000000003,5,16463.907998404524
AlCuTe2,Al-Cu-Te,1.0186000000000002,2,319313.0016130894
Rb2S,Rb-S,1.9632,1,45433.19359762542
ThSO,O-S-Th,1.1144999999999996,2,34968.605989908945
HgF2,F-Hg,0.9687,1,97377.12392970888
Li2CeN2,Ce-Li-N,1.2035999999999998,5,309192.9980190044
ThNF,F-N-Th,2.2590000000000003,5,8203.687447345876
CaPtF6,Ca-F-Pt,2.643,5,8873.905638087723
ZnPtF6,F-Pt-Zn,2.0919,5,88208.41493965672
NaGdS2,Gd-Na-S,1.762,5,60189.50907604073
Ba(MgP)2,Ba-Mg-P,1.1366,5,252430.03640810424
Ba(MgAs)2,As-Ba-Mg,1.0689000000000002,5,312383.2603349332
SnF3,F-Sn,2.7195,1,7433.081679332176
Sr4P2O,O-P-Sr,1.2134,2,207960.65972027215
Sr4As2O,As-O-Sr,1.1923999999999997,2,259193.16692147104
